X,Y,R,G,B,Temperature_C
0,511,209,192,4,1044.6534653465346
0,512,209,192,4,1043.7623762376238
0,513,209,192,4,1042.871287128713
0,514,207,192,4,1041.980198019802
0,515,207,192,4,1041.0891089108911
0,516,207,192,4,1040.19801980198
0,517,207,192,4,1039.3069306930693
0,518,207,192,4,1038.4158415841584
0,519,206,192,4,1037.5247524752476
0,520,206,192,4,1036.6336633663366
0,521,206,192,4,1035.7425742574258
0,522,206,192,4,1034.8514851485147
0,523,204,193,4,1033.960396039604
0,524,204,193,4,1033.069306930693
0,525,204,193,4,1032.1782178217823
0,526,204,193,4,1031.2871287128712
0,527,202,193,3,1030.3960396039604
0,528,202,193,3,1029.5049504950496
0,529,202,193,3,1028.6138613861385
0,530,202,193,3,1027.7227722772277
0,531,200,193,3,1026.8316831683169
0,532,200,193,3,1025.9405940594058
0,533,200,193,3,1025.049504950495
0,534,200,193,3,1024.1584158415842
0,535,198,194,3,1023.2673267326733
0,536,198,194,3,1022.3762376237623
0,537,198,194,3,1021.4851485148515
0,538,198,194,3,1020.5940594059406
0,539,198,194,3,1019.7029702970297
0,540,195,194,2,1018.8118811881188
0,541,195,194,2,1017.9207920792079
0,542,195,194,2,1017.029702970297
0,543,195,194,2,1016.1386138613861
0,544,193,194,2,1015.2475247524752
0,545,193,194,2,1014.3564356435643
0,546,193,194,2,1013.4653465346535
0,547,193,194,2,1012.5742574257425
0,548,190,194,2,1011.6831683168316
0,549,190,194,2,1010.7920792079208
0,550,190,194,2,1009.9009900990098
0,551,190,194,2,1009.0099009900989
0,552,187,193,1,1008.1188118811881
0,553,187,193,1,1007.2277227722772
0,554,187,193,1,1006.3366336633662
0,555,187,193,1,1005.4455445544554
0,556,187,193,1,1004.5544554455446
0,557,185,193,1,1003.6633663366335
0,558,185,193,1,1002.7722772277227
0,559,185,193,1,1001.8811881188119
0,560,185,193,1,1000.990099009901
0,561,181,192,1,1000.09900990099
0,562,181,192,1,999.2079207920792
0,563,181,192,1,998.3168316831683
0,564,181,192,1,997.4257425742574
0,565,178,192,1,996.5346534653465
0,566,178,192,1,995.6435643564356
0,567,178,192,1,994.7524752475247
0,568,178,192,1,993.8613861386139
0,569,174,191,1,992.970297029703
0,570,174,191,1,992.0792079207921
0,571,174,191,1,991.1881188118812
0,572,174,191,1,990.2970297029703
0,573,170,190,0,989.4059405940595
0,574,170,190,0,988.5148514851485
0,575,170,190,0,987.6237623762377
0,576,170,190,0,986.7326732673267
0,577,170,190,0,985.8415841584159
0,578,167,189,1,984.950495049505
0,579,167,189,1,984.059405940594
0,580,167,189,1,983.1683168316832
0,581,167,189,1,982.2772277227723
0,582,164,188,1,981.3861386138615
0,583,164,188,1,980.4950495049505
0,584,164,188,1,979.6039603960396
0,585,164,188,1,978.7128712871288
0,586,160,187,1,977.8217821782179
0,587,160,187,1,976.9306930693069
0,588,160,187,1,976.0396039603961
0,589,160,187,1,975.1485148514852
0,590,156,186,1,974.2574257425742
0,591,156,186,1,973.3663366336634
0,592,156,186,1,972.4752475247525
0,593,156,186,1,971.5841584158417
0,594,153,185,1,970.6930693069307
0,595,153,185,1,969.8019801980198
0,596,153,185,1,968.910891089109
0,597,153,185,1,968.019801980198
0,598,153,185,1,967.1287128712871
0,599,149,184,2,966.2376237623763
0,600,149,184,2,965.3465346534654
0,601,149,184,2,964.4554455445544
0,602,149,184,2,963.5643564356436
0,603,145,183,3,962.6732673267327
0,604,145,183,3,961.7821782178218
0,605,145,183,3,960.8910891089109
0,606,145,183,3,960.0
0,607,141,182,4,959.1089108910892
0,608,141,182,4,958.2178217821782
0,609,141,182,4,957.3267326732673
0,610,141,182,4,956.4356435643565
0,611,138,181,5,955.5445544554456
0,612,138,181,5,954.6534653465346
0,613,138,181,5,953.7623762376238
0,614,138,181,5,952.8712871287129
0,615,138,181,5,951.980198019802
0,616,134,180,6,951.0891089108911
0,617,134,180,6,950.1980198019802
0,618,134,180,6,949.3069306930693
0,619,134,180,6,948.4158415841584
0,620,130,179,7,947.5247524752475
0,621,130,179,7,946.6336633663367
0,622,130,179,7,945.7425742574258
0,623,130,179,7,944.8514851485148
0,624,127,178,8,943.960396039604
0,625,127,178,8,943.0693069306931
0,626,127,178,8,942.1782178217821
0,627,127,178,8,941.2871287128713
0,628,123,177,10,940.3960396039604
0,629,123,177,10,939.5049504950495
0,630,123,177,10,938.6138613861386
